"Date","Open","High","Low","Close","Volume"
"2025-03-10",128.61000061035156,131.1199951171875,126.01000213623047,126.80000305175781,3844513
"2025-03-07",131.75999450683594,132.5500030517578,119.75,126.8499984741211,5335607
"2025-02-28",134.77000427246094,136.99000549316406,127.9000015258789,130.72999572753906,6915617
"2025-02-21",135.60000610351562,139.8800048828125,134.5800018310547,134.74000549316406,9840947
"2025-02-14",134.1300048828125,139.4199981689453,128.29600524902344,135.30999755859375,11756064
"2025-02-07",133.72999572753906,144.0800018310547,131.47999572753906,133.0800018310547,8058326
"2025-01-31",136.8800048828125,137.60000610351562,132.82000732421875,133,901285
"2025-01-24",140.63999938964844,142.4199981689453,139.17999267578125,139.6300048828125,1083210
"2025-01-17",127.9000015258789,141.5850067138672,127.9000015258789,141.0500030517578,9332700
"2025-01-10",128.22000122070312,130.1699981689453,125.91000366210938,127.1500015258789,917637
"2025-01-03",119.81999969482422,125.18000030517578,118.1500015258789,124.26000213623047,4382539
"2024-12-27",119.02999877929688,120.88999938964844,116.9000015258789,119.58000183105469,3768643
"2024-12-20",127.93000030517578,128.49000549316406,117.13999938964844,118.58999633789062,14419295
"2024-12-13",132.5500030517578,136.60000610351562,128.63999938964844,129.13999938964844,4829061
"2024-12-06",138.60000610351562,142,130.47000122070312,131.52000427246094,4946820
"2024-11-29",141.14999389648438,142.5,136.6999969482422,139.0800018310547,3312641
"2024-11-22",140.63999938964844,142.36000061035156,139.61000061035156,140.91000366210938,962422
"2024-11-15",136.61000061035156,142.19000244140625,135.17999267578125,140.16000366210938,3020550
"2024-11-08",128.55999755859375,139.83999633789062,128.30999755859375,136.69000244140625,3499377
"2024-11-01",130.07000732421875,132.5,127.11000061035156,128.22000122070312,4614035
"2024-10-25",133,134,131.86000061035156,132.39999389648438,638931
"2024-10-18",136.5,137.47999572753906,134.38999938964844,137.0399932861328,2746748
"2024-10-11",142.00999450683594,144.9499969482422,135,142.33999633789062,3318421
"2024-10-04",135.83999633789062,146.1300048828125,135.42999267578125,142.4199981689453,1862343
"2024-09-27",133.17999267578125,140.07000732421875,132.4199981689453,135.97000122070312,5172583
"2024-09-20",135.13999938964844,140.6999969482422,132.97999572753906,134.4600067138672,7196422
"2024-09-13",134.8000030517578,136.30999755859375,130.3800048828125,134.25999450683594,6395027
"2024-09-06",144.50999450683594,144.50999450683594,132.67999267578125,134.19000244140625,3480181
"2024-08-30",146.61000061035156,147.05999755859375,139.3000030517578,146.72999572753906,3226800
"2024-08-23",149.99000549316406,150.0800018310547,141.14999389648438,145.8699951171875,3621521
"2024-08-16",152.08999633789062,153.50999450683594,147.1750030517578,149.82000732421875,3575168
"2024-08-09",151.5800018310547,151.7100067138672,149.5,151.0800018310547,578194
"2024-08-02",159.13999938964844,167.77999877929688,148.16000366210938,148.55999755859375,5844203
"2024-07-26",147.5,160.14999389648438,144.91000366210938,159.1199951171875,4830898
"2024-07-19",148.58999633789062,154.16000366210938,146.0399932861328,148.3300018310547,4708913
"2024-07-12",152,152.83999633789062,143.57000732421875,147.9199981689453,4552508
"2024-07-05",158.35000610351562,162,152.0800018310547,152.77999877929688,3017477
"2024-06-28",150.05999755859375,157.19000244140625,148.5,156.75999450683594,6468179
"2024-06-21",150.14999389648438,155.08999633789062,148.92999267578125,150.2100067138672,6686395
"2024-06-14",154.0399932861328,156.08999633789062,147.39999389648438,150.07000732421875,4343762
"2024-06-07",157,157.10000610351562,152,154.42999267578125,5346727
