"Date","Open","High","Low","Close","Volume"
"2025-03-10",54.40999984741211,54.849998474121094,46.55500030517578,47.220001220703125,12083068
"2025-02-28",55.869998931884766,58.38999938964844,52.15999984741211,54.040000915527344,24726618
"2025-01-31",54.66999816894531,59.45000076293945,52.810001373291016,57.86000061035156,25021896
"2024-12-31",60.689998626708984,60.709999084472656,52.06999969482422,54.25,27557070
"2024-11-29",52.279998779296875,63.220001220703125,50.2400016784668,60.52000045776367,25501802
"2024-10-31",52.720001220703125,53.130001068115234,52.060001373291016,52.060001373291016,938867
"2024-09-30",48.9900016784668,49.564998626708984,43.720001220703125,47.220001220703125,31447098
"2024-08-30",51.619998931884766,51.810001373291016,43.5099983215332,49.560001373291016,33896966
"2024-07-31",51.84000015258789,52.849998474121094,51.084999084472656,51.66999816894531,1979724
"2024-06-28",43.45000076293945,43.540000915527344,39.90999984741211,43.369998931884766,27889798
"2024-05-31",41.08000183105469,45.53990173339844,40.97999954223633,43.189998626708984,29352784
"2024-04-30",43.36000061035156,43.630001068115234,39.04999923706055,40.779998779296875,41157326
"2024-03-28",38.720001220703125,43.52000045776367,38.0099983215332,43.400001525878906,86425915
"2024-02-29",42.189998626708984,42.34000015258789,37.755001068115234,39.43000030517578,60451063
"2024-01-31",43.5,45.33000183105469,39.779998779296875,41.900001525878906,54438295
"2023-12-29",35.400001525878906,46.150001525878906,35.20719909667969,43.869998931884766,49178518
"2023-11-30",30.739999771118164,36.525001525878906,30.329999923706055,35.630001068115234,42508543
"2023-10-31",34.88999938964844,37.189998626708984,28.899999618530273,30.850000381469727,77845057
"2023-09-29",35.7599983215332,37.630001068115234,32.540000915527344,34.88999938964844,57348303
"2023-08-31",38.650001525878906,38.68000030517578,32.650901794433594,35.5,54855442
"2023-07-31",27.260000228881836,39.63999938964844,26.690000534057617,38.25,94585869
"2023-06-30",27.809999465942383,32.34000015258789,26.354999542236328,26.860000610351562,89819375
"2023-05-31",27.940000534057617,30.670000076293945,18.260000228881836,27.290000915527344,185282840
"2023-04-28",30.290000915527344,33.130001068115234,25.90999984741211,27.860000610351562,100405517
"2023-03-31",50.2599983215332,50.959999084472656,22.549999237060547,29.93000030517578,170058301
