"Date","Open","High","Low","Close","Volume"
"2025-03-10",339.94000244140625,345.010009765625,337.6409912109375,341.4800109863281,8204296
"2025-03-07",340.8699951171875,346.2300109863281,339.1700134277344,345.32000732421875,1459985
"2025-03-06",345.9599914550781,348.70001220703125,341.32000732421875,344.1600036621094,2230165
"2025-03-05",350.8299865722656,354,348.9800109863281,352.67999267578125,3005950
"2025-03-04",360.1099853515625,360.1600036621094,350.5199890136719,352.2300109863281,2702510
"2025-03-03",363,366.5400085449219,359.5400085449219,361.82000732421875,9099607
"2025-02-28",354.7099914550781,364,354.7099914550781,362.7099914550781,9120422
"2025-02-27",351.8999938964844,360.30999755859375,351.67498779296875,355.739990234375,7298114
"2025-02-26",350,351.7799987792969,349.0899963378906,350.6300048828125,2056063
"2025-02-25",351.3699951171875,352.5,346,352.0899963378906,1655673
"2025-02-24",347.989990234375,350.79998779296875,347.3550109863281,349.8599853515625,1649864
"2025-02-21",350.489990234375,353.32000732421875,347.4800109863281,348.5299987792969,6924127
"2025-02-20",355.2300109863281,356.1300048828125,349.05999755859375,350.489990234375,5697023
"2025-02-19",355.8299865722656,357.1000061035156,354.25,355.2300109863281,1409841
"2025-02-18",353.69000244140625,356.739990234375,352.3999938964844,356.7300109863281,5822034
"2025-02-14",354.42999267578125,355.3999938964844,353.2900085449219,353.80999755859375,1895837
"2025-02-13",353.1199951171875,356.0799865722656,350.7300109863281,355.6300048828125,4279581
"2025-02-12",349.1600036621094,351.7699890136719,347.5,351.489990234375,3429112
"2025-02-11",348.29998779296875,352.1199951171875,346.25,350.7200012207031,5154783
"2025-02-10",349.1099853515625,351.8999938964844,347.70001220703125,351.2300109863281,2500310
"2025-02-07",348,350.7099914550781,347.2200012207031,348.0199890136719,1320058
"2025-02-06",349.7799987792969,350.6499938964844,346.6000061035156,347.4800109863281,4294541
"2025-02-05",346,349.47698974609375,345.25,349.44000244140625,4939090
"2025-02-04",344.6000061035156,346,342.5400085449219,345.1499938964844,2060325
"2025-02-03",340,346,339.5199890136719,345.82000732421875,2646693
"2025-01-31",350,351.04998779296875,341.7099914550781,341.79998779296875,2642019
"2025-01-30",339.510009765625,344.44000244140625,339,343.04998779296875,8081262
"2025-01-29",334.5,337.1099853515625,334.5,335.8800048828125,1468504
"2025-01-28",334.6700134277344,337.82000732421875,332.9200134277344,334.4800109863281,1798855
"2025-01-27",330,335.4700012207031,328.2200012207031,334.5400085449219,1858285
"2025-01-24",328.0199890136719,331.0299987792969,327.8800048828125,330.20001220703125,1409715
"2025-01-23",323.760009765625,328.510009765625,323.57000732421875,328.2099914550781,5297085
"2025-01-22",324.7699890136719,325.4849853515625,322.489990234375,323.55999755859375,1586124
"2025-01-21",320.4100036621094,324.55999755859375,320.2200012207031,323.6300048828125,1609148
"2025-01-17",317.5,320.5899963378906,316.7099914550781,319.6199951171875,5805810
"2025-01-16",315.75,319.17999267578125,315.75,317.25,4606670
"2025-01-15",313.67999267578125,317.1499938964844,313.1400146484375,316.2799987792969,1847928
"2025-01-14",308.75,310.0899963378906,307.5199890136719,309.0899963378906,1978464
"2025-01-13",305,306.9200134277344,303.94000244140625,306.9200134277344,5787955
"2025-01-10",311.20001220703125,311.7699890136719,306,307.7099914550781,2265261
"2025-01-08",311,314.0400085449219,310.75,312.6000061035156,1822927
"2025-01-07",313.0400085449219,315.1400146484375,311.3500061035156,311.6700134277344,1760363
"2025-01-06",315.010009765625,315.3399963378906,312.0799865722656,313.0400085449219,2139892
"2025-01-03",314.17999267578125,315.7900085449219,312.010009765625,314.9100036621094,1395445
"2025-01-02",317.7799987792969,319.67999267578125,312.4100036621094,314.3999938964844,5373059
"2024-12-31",316.1199951171875,317.5899963378906,315.2699890136719,316.0400085449219,1727827
"2024-12-30",314.67999267578125,317.1099853515625,313.239990234375,315.30999755859375,1293901
"2024-12-27",319.2699890136719,321.489990234375,317.55999755859375,318.6600036621094,1422210
"2024-12-26",319.7699890136719,321.45001220703125,319.4599914550781,320.9100036621094,2856059
"2024-12-24",318.1700134277344,321.5199890136719,317.4200134277344,320.6499938964844,1012315
"2024-12-23",315.6499938964844,317.9700012207031,313.3500061035156,317.2200012207031,1603769
"2024-12-20",313.57000732421875,320,312.2799987792969,317.7099914550781,13814247
"2024-12-19",311.8299865722656,316.8699951171875,311.2300109863281,314.8800048828125,8317119
"2024-12-18",318.5,321.6099853515625,309.55999755859375,309.7799987792969,5346293
"2024-12-17",316.6000061035156,318.80999755859375,315.1400146484375,318.29998779296875,3739893
"2024-12-16",314.739990234375,317.5400085449219,314.1099853515625,315.8900146484375,3058733
"2024-12-13",315.8299865722656,316.95001220703125,314.3399963378906,314.739990234375,2413059
"2024-12-12",314.82000732421875,315.54998779296875,313.42999267578125,314.2300109863281,3218540
"2024-12-11",313.0400085449219,315.44000244140625,311.3299865722656,313.7900085449219,1361475
"2024-12-10",307.3599853515625,312.9700012207031,306.6400146484375,312.3800048828125,1392505
"2024-12-09",311.8299865722656,313,307.7099914550781,308.29998779296875,1819280
"2024-12-06",308.8699951171875,312.510009765625,308.79998779296875,311.010009765625,1688814
"2024-12-05",309.9800109863281,311.0899963378906,308.8299865722656,309.0799865722656,5200052
"2024-12-04",312.4200134277344,312.5,308.8699951171875,309.8999938964844,2106653
"2024-12-03",317.1000061035156,317.1700134277344,312.8500061035156,313.010009765625,1587776
"2024-12-02",316.8999938964844,317.4100036621094,313.7099914550781,316.6499938964844,2395587
"2024-11-29",314.69000244140625,316.19000244140625,313.79998779296875,315.0799865722656,1419986
"2024-11-27",310.54998779296875,316.3699951171875,309.7699890136719,314.70001220703125,1549128
"2024-11-26",314.20001220703125,314.5,311.54998779296875,311.82000732421875,3657611
"2024-11-25",312.04998779296875,313.4800109863281,309.8599853515625,313.19000244140625,7581278
"2024-11-22",307.9700012207031,311.489990234375,307.94000244140625,309.9200134277344,1710673
"2024-11-21",307.5,310.9100036621094,306.82000732421875,309.8999938964844,1792166
