"Date","Open","High","Low","Close","Volume"
"2025-03-10",483.3900146484375,503.8900146484375,480.3800048828125,500.010009765625,1796715
"2025-03-07",477.82000732421875,495.5400085449219,477.7300109863281,488.2900085449219,6149923
"2025-02-28",482.8399963378906,487.5,473.510009765625,479.7900085449219,6793688
"2025-02-21",455.05999755859375,487.3800048828125,451.989990234375,484.239990234375,5880804
"2025-02-14",470.5799865722656,471.94000244140625,446,459,6804096
"2025-02-07",463.3599853515625,491.80499267578125,458.7349853515625,469.32000732421875,7979993
"2025-01-31",454.1700134277344,472.0400085449219,435,462.0400085449219,3648821
"2025-01-24",438.7300109863281,442.6600036621094,436.6050109863281,439.6199951171875,1647884
"2025-01-17",408,428.25,397.2449951171875,422,7957969
"2025-01-10",406.1700134277344,413.5199890136719,405.1700134277344,409.55999755859375,1687867
"2025-01-03",404.5400085449219,411.6499938964844,399.05999755859375,407.1099853515625,4869124
"2024-12-27",391.8699951171875,411.2900085449219,390.9150085449219,408.760009765625,6238055
"2024-12-20",463.3699951171875,474.18499755859375,377.8500061035156,397.2699890136719,18988971
"2024-12-13",467.3299865722656,476.4580078125,459.7900085449219,463.7300109863281,5225387
"2024-12-06",467.4800109863281,468.510009765625,450,462.1000061035156,5661670
"2024-11-29",456.5799865722656,470.92999267578125,455.82501220703125,468.1300048828125,5273580
"2024-11-22",454.29998779296875,457.5400085449219,449.0400085449219,450.9700012207031,1270384
"2024-11-15",518.27001953125,518.3499755859375,458.1000061035156,465.70001220703125,7592577
"2024-11-08",473.9100036621094,519.8800048828125,468.7699890136719,516.739990234375,6871807
"2024-11-01",477.95001220703125,478.31500244140625,463.1449890136719,471.1199951171875,4951865
"2024-10-25",477.20001220703125,480.4100036621094,475.0459899902344,477.70001220703125,1019702
"2024-10-18",487.010009765625,499.0899963378906,480.70001220703125,483,5255006
"2024-10-11",454.1700134277344,482.8900146484375,447.70001220703125,481.7099914550781,5260235
"2024-10-04",460,462.1300048828125,452.260009765625,455.30999755859375,1774653
"2024-09-27",464.9200134277344,467.56500244140625,456.07000732421875,462.8800048828125,4828778
"2024-09-20",490,490.1499938964844,463.80999755859375,464.9200134277344,6008675
"2024-09-13",472.2300109863281,486.05999755859375,460.69000244140625,485.3699951171875,3882517
"2024-09-06",492.6499938964844,493,463.0400085449219,468,4578669
"2024-08-30",481.9800109863281,500.25,476.3800048828125,495.8900146484375,5398601
